protein,condition,sample,cell,edge_margin_um,min_track_length,n_tracks_raw,n_edge_removed,n_tracks_after_edge,n_tracks_used,median_D,mean_D,median_log10_D,median_track_length
Syx,500uM_H2O2_30min,2,1,0.3,15,564,215,349,186,0.09925370635520424,0.14491040798430138,-1.003256779646109,22.0
Syx,Ox_500uM_H2O2,2,1,0.3,15,880,128,752,434,0.13776373632324046,0.15743919380374408,-0.8608713637826448,24.0
Syx,control,2,1,0.3,15,2209,463,1746,880,0.1333069640636373,0.17407062561579228,-0.8751471628022591,21.0
Syx,500uM_H2O2_30min,2,2,0.3,15,905,602,303,139,0.1522699594289199,0.18976402570809522,-0.8173857679778327,21.0
Syx,Ox_500uM_H2O2,2,2,0.3,15,683,221,462,227,0.11899792500374554,0.15396981568964793,-0.9244606114417558,23.0
Syx,control,2,2,0.3,15,676,33,643,279,0.19079563672236857,0.23645407033313542,-0.7194315613356229,21.0
Syx,500uM_H2O2_30min,2,3,0.3,15,1318,422,896,419,0.18029062437566784,0.23696543139795165,-0.7440268572364562,22.0
Syx,Ox_500uM_H2O2,2,3,0.3,15,919,137,782,401,0.19027136815996715,0.24275267991420998,-0.7206265589839347,22.0
Syx,control,2,3,0.3,15,1639,295,1344,659,0.23731397049367192,0.29945081975885357,-0.6246766944429275,22.0
Syx,500uM_H2O2_30min,3,1,0.3,15,2578,471,2107,990,0.2313774248157892,0.3480159631352358,-0.6356790168722684,21.0
Syx,Ox_500uM_H2O2,3,1,0.3,15,2305,142,2163,1113,0.2431842546265829,0.33224731840526417,-0.6140645476154163,22.0
Syx,control,3,1,0.3,15,1274,483,791,369,0.2126701739369029,0.29816403125854757,-0.6722934137310228,22.0
Syx,500uM_H2O2_30min,3,2,0.3,15,956,516,440,233,0.20007635459802103,0.2612967027477281,-0.6988042340743676,20.0
Syx,Ox_500uM_H2O2,3,2,0.3,15,697,192,505,239,0.20584030232478953,0.25583430078035585,-0.6864695889338767,21.0
Syx,control,3,2,0.3,15,2261,478,1783,937,0.1897059281876097,0.2594154826141042,-0.7219190974774988,22.0
Syx,500uM_H2O2_30min,3,3,0.3,15,1735,415,1320,688,0.2176358768518184,0.2996834510694754,-0.6622696756208367,23.0
Syx,Ox_500uM_H2O2,3,3,0.3,15,1018,570,448,216,0.20731215745439568,0.28163224956068333,-0.6833752296868985,24.5
Syx,control,3,3,0.3,15,1238,328,910,483,0.2456276134397425,0.3413655582721622,-0.6097228114299299,23.0
SNAP25,500uM_H2O2_30min,1,1,0.5,5,2601,462,2139,2039,0.44375858911653493,0.6932920147943346,-0.3528532279203638,16.0
SNAP25,Ox_500uM_H2O2,1,1,0.5,5,2801,418,2383,2284,0.466856643771085,0.7430592717438127,-0.3308165198801766,16.0
SNAP25,control,1,1,0.5,5,2334,379,1955,1860,0.4630281188155483,0.6724017512513766,-0.3343927340617512,17.0
SNAP25,500uM_H2O2_30min,1,2,0.5,5,1295,766,529,481,0.6006535445350465,1.2578388058341459,-0.22137595575409266,14.0
SNAP25,Ox_500uM_H2O2,1,2,0.5,5,1023,272,751,715,0.5184095870984999,0.8519970660810635,-0.28532697552967723,17.0
SNAP25,control,1,2,0.5,5,1704,361,1343,1282,0.5109572866225526,0.7175127302686651,-0.29161545603366423,17.0
SNAP25,500uM_H2O2_30min,1,3,0.5,5,1354,166,1188,1115,0.3940322674320066,0.5905384614122701,-0.40446821220015644,16.0
SNAP25,Ox_500uM_H2O2,1,3,0.5,5,1487,254,1233,1176,0.40974264084967793,0.5643737525448036,-0.38748899330423026,18.0
SNAP25,control,1,3,0.5,5,1821,338,1483,1404,0.4370331643444162,0.6526820440332926,-0.35948560579970235,17.0
SNAP25,500uM_H2O2_30min,2,1,0.5,5,2890,934,1956,1848,0.5524149674298111,0.955376597922295,-0.2577345634336261,15.0
SNAP25,Ox_500uM_H2O2,2,1,0.5,5,4794,1106,3688,3538,0.5678569619522592,0.8644030898556695,-0.24576106812901352,15.0
SNAP25,control,2,1,0.5,5,4368,954,3414,3276,0.5209758572305784,0.7806952558092225,-0.2831824073293253,16.0
SNAP25,500uM_H2O2_30min,2,2,0.5,5,2378,897,1481,1397,0.6602181529262686,1.328327826508129,-0.18031253876468165,14.0
SNAP25,Ox_500uM_H2O2,2,2,0.5,5,2720,953,1767,1703,0.6860683058092678,1.2194157390344023,-0.16363264324475846,16.0
SNAP25,control,2,2,0.5,5,2181,725,1456,1397,0.5857067540872678,1.00802604106789,-0.23231976786905525,16.0
SNAP25,500uM_H2O2_30min,2,3,0.5,5,2121,496,1625,1549,0.5788660204468303,1.0361325939130692,-0.23742194285944282,15.0
SNAP25,Ox_500uM_H2O2,2,3,0.5,5,2739,683,2056,1981,0.520345261536319,0.7992277563342012,-0.28370839593650377,17.0
SNAP25,control,2,3,0.5,5,2811,540,2271,2177,0.5398811002555295,0.8850420790281343,-0.26770187571157267,16.0
Syx,500uM_H2O2_30min,1,1,0.5,5,705,95,610,509,0.28715631182026863,0.5717272183664056,-0.5418816332968424,14.0
Syx,Ox_500uM_H2O2,1,1,0.5,5,493,276,217,185,0.2386746592250826,0.43050934178862027,-0.6221936888396149,13.0
Syx,control,1,1,0.5,5,893,514,379,329,0.2817123006083075,0.5719244869421514,-0.5501941896855699,14.0
Syx,500uM_H2O2_30min,1,2,0.5,5,2187,757,1430,1234,0.35719866501857667,0.7494081372063331,-0.4470915724109319,13.0
Syx,Ox_500uM_H2O2,1,2,0.5,5,2271,976,1295,1124,0.356825406859506,0.7691618232691533,-0.4475444477987547,14.0
Syx,control,1,2,0.5,5,3537,835,2702,2381,0.4782796919436989,0.8627046368563724,-0.3203180591531908,15.0
Syx,500uM_H2O2_30min,1,3,0.5,5,3276,525,2751,2349,0.32601195485508944,0.6403170049426296,-0.4867664740657967,14.0
Syx,Ox_500uM_H2O2,1,3,0.5,5,923,245,678,582,0.3015894041968784,0.7124593496882503,-0.5205839823474696,14.0
Syx,control,1,3,0.5,5,2602,616,1986,1740,0.3571419011150872,0.7692213357741982,-0.4471591953748567,15.0
Syx,500uM_H2O2_30min,2,1,0.5,5,564,218,346,307,0.10644359852737922,0.14978097847232968,-0.9728804517252484,16.0
Syx,Ox_500uM_H2O2,2,1,0.5,5,880,130,750,670,0.13566632190012856,0.1839831393485855,-0.8675280092531834,18.0
Syx,control,2,1,0.5,5,2209,481,1728,1570,0.13752818931897803,0.199761617030169,-0.8616082758023675,15.5
Syx,500uM_H2O2_30min,2,2,0.5,5,905,602,303,267,0.16700810827159351,0.25014350859768575,-0.7772624432708136,15.0
Syx,Ox_500uM_H2O2,2,2,0.5,5,683,224,459,384,0.12540268899547377,0.20603604613719664,-0.901694050519772,17.0
Syx,control,2,2,0.5,5,676,38,638,562,0.1754362392214871,0.2642581350837812,-0.7558808457150512,14.0
Syx,500uM_H2O2_30min,2,3,0.5,5,1318,425,893,796,0.21945326656444075,0.41210160501440113,-0.6586590358313797,15.0
Syx,Ox_500uM_H2O2,2,3,0.5,5,919,139,780,662,0.2060717683884394,0.31370248715451315,-0.6859817940162605,17.0
Syx,control,2,3,0.5,5,1639,308,1331,1232,0.25635481563658713,0.3701204824430572,-0.5911586042142011,15.0
Syx,500uM_H2O2_30min,3,1,0.5,5,2578,477,2101,1823,0.2455575122185489,0.4383191617168074,-0.609846775174577,15.0
